title,author,publish,secondTitle,originName,translator,publishYear,Pages,price,ISBN
爱上Processing,GaseyReas&BenFry,人民郵電出版社,GettingStartedwithProcessing,无,陈思明,2012-4,190,38.00元,9787115276933
JavaScript设计模式与开发实践,曾探,人民邮电出版社,无,无,无,2015-5,294,59.00元,9787115388889
Node.js开发指南,郭家寶（BYVoid）,人民邮电出版社,无,无,无,2012-7,178,45.00元,9787115283993
软件调试的艺术,NormanMatloff/PeterJaySalzman,人民邮电出版社,Linux/Unix平台软件调试权威著作,"TheArtofDebuggingwithGDB,DDD,andEclipse",张云,2009-11,216,39.00元,9787115213969
C++大学教程,[美]H.M.Deitel，,电子工业出版社,无,C++HowtoProgram(5thEdition),张引,2007-2,1078,98.00元,9787121026577
C语言参考手册(原书第5版),SamuelP.Harbison/GuyL.Steele,机械工业出版社,无,C:AReferenceManual,邱仲潘,2004-2-1,412,39.00元,9787111122197
算法的乐趣,王晓华,人民邮电出版社,无,无,无,2015-4,420,79.00元,9787115385376
Effective Python,布雷特·斯拉特金（BrettSlatkin）,机械工业出版社,编写高质量Python代码的59个有效方法,EffectivePython,爱飞翔,2016-1,无,59,9787111523550
Processing互动编程艺术,谭亮,电子工业出版社,无,无,无,2011-6,220,39.00元,9787121134630
高级Perl编程,[美]SriramSrinivasan,中国电力出版社,无,AdvancedPerlProgramming,Perlish,2001-1,485,69.00元,9787508305127
写给大家看的C语言书,佩里(GregPerry),人民邮电出版社,无,无,刘艳娟,2010-1-1,308页,39.00元,9787115216359
R Cookbook,PaulTeetor,O'ReillyMedia,无,无,无,2011-3-22,436,USD39.99,9780596809157
Shell脚本学习指南,ArnoldRobbins/NelsonH.F.Beebe,机械工业出版社,无,ClassicShellScripting,OReillyTaiwan公司,2009-4,494,79.00元,9787111255048
The Effective Engineer,EdmondLau,"TheEffectiveBookshelf,PaloAlto,CA.",HowtoLeverageYourEffortsinSoftwareEngineeringtoMakeaDisproportionateandMeaningfulImpact,无,无,2015-3-19,247,USD39.00,9780996128100
程序员应该知道的97件事,KevlinHenney,电子工业出版社,无,无,李军译,2010-9,256,45.00元,9787121117565
C++高级编程,索尔特,机械工业出版社,无,ProfessionalC++,刘鑫,2006-1,687,88.00元,9787111177784
MATLAB实用教程,穆尔(HollyMoore),电子工业出版社,无,无,高会生刘童娜李聪聪,2010-1-1,470,59.00元,9787121101793
Google Android开发入门指南,王世江,人民邮电出版社,无,无,无,2009-11,281,45.00元,9787115213945
C++必知必会,杜赫斯特,人民邮电出版社,无,无,荣耀,2006-1,202,29.00元,9787115141019
"Is Parallel Programming Hard, And, If So, What Can You Do About It?",无,无,无,PaulE.McKenney,无,无,401,无,9780954899332
代码优化,（美）KrisKaspersky,电子工业出版社,有效使用内存,CodeOptimization:EffectiveMemoryUsage,谭明金,2004-10,348,48.00元,9787121003516
算法I～IV（C++实现）――基础、数据结构、排序和搜索（第三版）,[美]RobertSedgewick,中国电力出版社,无,无,张铭泽,2004-2-1,532,55.00,9787508318080
Head First HTML5 Programming（中文版）,埃里克•弗里曼(EricFreeman)/伊丽莎白•罗布森(ElisabethRobson),中国电力出版社,无,无,无,2012-9,579,78.00元,9787512329355
Getting Started with Processing,CaseyReas/BenFry,"MakerMedia,Inc",AHands-onIntroductiontoMakingInteractiveGraphics,无,无,2010-7-5,210,USD19.99,9781449379803
COM技术内幕-微软组件对象模型,(美)DaleRogerson,清华大学出版社,无,无,杨秀章,1999-1,301,50.00元,9787302033202
高质量程序设计艺术,斯皮内利斯,人民邮电出版社,无,无,韩东海,2008-1,384,55.00元,9787115167934
C++程序设计,谭浩强,清华大学出版社,无,无,无,2004-6-1,485,36.00元,9787302085997
游戏编程全接触,（美）MikeMcShaffry,人民邮电出版社,无,GameCodingComplete,无,2006-1,387,48.00元,9787115132192
HTTP Developer's Handbook,ChrisShiflett,SamsPublishing,无,无,无,2003-3-29,312,USD39.99,9780672324543
Purely Functional Data Structures,ChrisOkasaki,CambridgeUniversityPress,无,无,无,1999-6-13,232,USD49.99,9780521663502
Erlang/OTP并发编程实战,[美]MartinLogan/[美]EricMerritt/[瑞典]RichardCarlsson,人民邮电出版社,无,ErlangandOTPinAction,连城,2012-7-12,356,79.00元,9787115285591
Head First C#,AndrewStellman/JenniferGreene,O'ReillyMedia,无,无,无,2007-12-6,784,USD49.99,9780596514822
